Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
732,Kunoi,Human,Rogue, ,,Whisperwind,US,,Subtlety,12655.80
733,Faineantt,Human,Rogue,RAIDER PUNKS,Alliance,Proudmoore,US,,Subtlety,12655.40
734,Felstav,Blood Elf,Rogue,SNYGGA POJKAR,Horde,Twisting Nether,EU,,Outlaw,12655.10
735,Therogue,Troll,Rogue,Redline,Horde,Thrall,US,,Outlaw,12654.40
736,Gahz,Mag'Har Orc,Monk,Justice for Karakaa,Alliance,Kazzak,EU,,Windwalker,12654.40
737,Novacle,Blood Elf,Rogue,eXsto,Horde,Tarren Mill,EU,,Outlaw,12652.50
738,Charter,Human,Rogue,Die Gummibärenbande,Alliance,Blackmoore,EU,DE,Subtlety,12652.40
739,Teeswìft,Blood Elf,Mage,Elusive,Horde,Zul'jin,US,,Arcane,12652.40
740,Ragewing,Blood Elf,Rogue,Redhands,Horde,Anub'arak,EU,DE,Subtlety,12652.30
741,Тсаледара,Human,Rogue, ,,Черный Шрам,EU,RU,Subtlety,12652.10
742,Pq,Troll,Warlock,Sweetness,Horde,Daggerspine,EU,,Affliction,12651.70
743,Егорпрожим,Human,Paladin, ,,Гордунни,EU,RU,Retribution,12650.70
744,Akáméé,Blood Elf,Monk,Reclaim,Horde,Kazzak,EU,,Windwalker,12650.60
745,Angríst,Human,Rogue,Nexus,Alliance,Uldaman,US,,Outlaw,12649.70
746,Blaius,Troll,Warlock,Walkthrough,Horde,Kazzak,EU,,Affliction,12649.40
747,Onfirê,Human,Warlock,Broken Promise,Alliance,Stormrage,US,,Affliction,12648.70
748,Tenso,Blood Elf,Monk,Fat Pandas,Horde,Tichondrius,US,,Windwalker,12648.50
749,Веейрус,Troll,Hunter,Асе,Horde,Свежеватель Душ,EU,RU,Survival,12647.80
750,Hipz,Goblin,Rogue,Massacre Scene,Horde,Turalyon,US,,Outlaw,12647.30
751,Våly,Human,Rogue,Loot moi si tu peux,Alliance,Hyjal,EU,FR,Outlaw,12646.20
752,Оркоголик,Orc,Rogue,Вертолёт позади избы,Horde,Ревущий фьорд,EU,RU,Subtlety,12646.10
753,Artofshadow,Troll,Warlock,Minions,Horde,Twisting Nether,EU,,Affliction,12645.50
754,Rileth,Orc,Rogue,ex Deo,Horde,Tarren Mill,EU,,Subtlety,12645.30
755,Plockzy,Blood Elf,Rogue,Sequence,Horde,Kazzak,EU,,Subtlety,12644.40
756,Sapdatazz,Blood Elf,Rogue,Awake,Horde,Eredar,EU,DE,Subtlety,12644.30
757,Darkrave,Void Elf,Rogue,The Academy of Aze..,Alliance,Antonidas,EU,DE,Outlaw,12644.30
758,Nexxtø,Blood Elf,Rogue,Fail Better,Horde,Hyjal,EU,FR,Outlaw,12644.20
759,Suboftheday,Undead,Rogue,Wheelchair Hijackers,Horde,Stormscale,EU,,Outlaw,12644.20
760,Mcshankss,Blood Elf,Rogue,Wildcard Gaming,Horde,Mal'Ganis,US,,Subtlety,12643.70
761,Diesèl,Undead,Rogue,The Lemmings,Horde,Frostwolf,EU,DE,Outlaw,12643.50
762,Péxyy,Undead,Rogue,The Sanctuary,Horde,Ysondre,EU,FR,Subtlety,12642.80
763,Itsrand,Blood Elf,Rogue,Left Shark,Horde,Azgalor,US,,Subtlety,12642.70
764,Dreken,Pandaren,Monk,Robe and Wizard Hat,Alliance,Aggramar,US,,Windwalker,12642.40
765,Vahyair,Mag'Har Orc,Rogue,Three Hops This Time,Alliance,Stormreaver,US,,Subtlety,12640.90
766,Hélísnoppter,Blood Elf,Rogue,Skeppet och Tunnan,Horde,Argent Dawn,EU,,Outlaw,12640.90
767,Sravtwo,Blood Elf,Rogue,Heuristics,Horde,Bleeding Hollow,US,,Subtlety,12640.60
768,Toadie,Undead,Rogue,Legion,Horde,Drak'thul,EU,,Outlaw,12640.40
